N,P,K,pH,soil_moisture,temperature,stress_type
90.0,42.0,43.0,6.502985292,54,19.52,healthy
85.0,58.0,41.0,7.038096361,12,19.49,water_stress
60.0,55.0,44.0,7.840207144,34,19.47,ph_stress_alkaline
74.0,35.0,40.0,6.980400905,7,19.54,water_stress
78.0,42.0,42.0,7.628472891,50,19.61,ph_stress_alkaline
69.0,37.0,42.0,7.073453503,4,19.67,water_stress
69.0,55.0,38.0,5.70080568,15,19.74,healthy
94.0,53.0,40.0,5.718627178,45,19.8,healthy
89.0,54.0,38.0,6.685346424,47,19.91,healthy
68.0,58.0,38.0,6.336253525,19,20.02,healthy
91.0,53.0,40.0,5.386167788,63,20.1,ph_stress_acidic
90.0,46.0,42.0,7.50283396,88,20.19,ph_stress_alkaline
78.0,58.0,44.0,5.108681786,39,20.3,ph_stress_acidic
93.0,56.0,36.0,6.98435366,65,20.41,healthy
94.0,50.0,37.0,6.94801983,50,20.41,healthy
60.0,48.0,39.0,7.042299069,39,20.41,healthy
85.0,38.0,41.0,6.249050656,18,20.61,healthy
91.0,35.0,39.0,6.970859754,66,20.81,healthy
77.0,38.0,36.0,5.953933276,68,20.93,healthy
88.0,35.0,40.0,5.85393208,20,21.06,healthy
89.0,45.0,36.0,6.442475375,40,21.18,healthy
76.0,40.0,43.0,5.070175667,2,21.3,ph_stress_acidic
67.0,59.0,41.0,6.012632591,22,21.35,healthy
83.0,41.0,43.0,6.254028451,1,21.4,water_stress
98.0,47.0,37.0,7.375482851,5,21.44,water_stress
66.0,53.0,41.0,7.778915154,10,21.49,ph_stress_alkaline
97.0,59.0,43.0,6.286500176,25,21.56,healthy
97.0,50.0,41.0,7.070959995,20,21.62,healthy
60.0,49.0,44.0,6.244841491,40,21.66,healthy
84.0,51.0,35.0,6.043304899,26,21.69,healthy
73.0,57.0,41.0,5.824709117,71,21.48,healthy
92.0,35.0,40.0,6.357389366,37,21.28,healthy
85.0,37.0,39.0,6.364134968,76,21.3,healthy
98.0,53.0,38.0,5.01450727,44,21.32,ph_stress_acidic
88.0,54.0,44.0,6.149410611,24,21.28,healthy
95.0,55.0,42.0,5.950660556,70,21.24,healthy
99.0,57.0,35.0,5.960370061,32,21.2,healthy
95.0,39.0,36.0,5.561398642,44,21.16,ph_stress_acidic
60.0,43.0,44.0,7.416245107,4,21.13,water_stress
63.0,44.0,41.0,5.583370042,63,21.09,ph_stress_acidic
62.0,42.0,36.0,6.430010215,49,21.1,healthy
64.0,45.0,43.0,5.534878156,26,21.11,ph_stress_acidic
83.0,60.0,36.0,6.903985986,58,21.12,healthy
82.0,40.0,40.0,6.271478838,45,21.13,healthy
85.0,52.0,45.0,7.224285503,37,20.94,healthy
91.0,35.0,38.0,6.13428721,16,20.76,healthy
76.0,49.0,42.0,5.206373153,75,20.56,ph_stress_acidic
74.0,39.0,38.0,7.782051313,82,20.36,ph_stress_alkaline
79.0,43.0,39.0,7.062779015,72,20.15,healthy
88.0,55.0,45.0,7.730367824,53,19.95,ph_stress_alkaline
60.0,36.0,43.0,5.286203711,13,19.71,ph_stress_acidic
76.0,60.0,39.0,6.766240045,41,19.47,healthy
93.0,56.0,42.0,7.382762603,53,19.32,healthy
65.0,60.0,43.0,5.658169482,76,19.18,healthy
95.0,52.0,36.0,5.543360238,9,19.21,ph_stress_acidic
75.0,38.0,39.0,6.215109715,66,19.24,healthy
74.0,54.0,38.0,7.120272972,12,19.17,water_stress
91.0,36.0,45.0,5.950647577,29,19.1,healthy
71.0,46.0,40.0,7.236705436,37,19.02,healthy
99.0,55.0,35.0,6.501697816,8,18.93,water_stress
72.0,40.0,38.0,7.592490617,55,18.74,ph_stress_alkaline
83.0,58.0,45.0,5.875345751,9,18.55,water_stress
93.0,58.0,38.0,6.932400225,41,18.63,healthy
70.0,36.0,42.0,6.946209881,31,18.71,healthy
76.0,47.0,42.0,5.739175027,80,18.87,healthy
99.0,41.0,36.0,6.738652179,7,19.03,water_stress
99.0,54.0,37.0,5.594819626,13,19.02,ph_stress_acidic
86.0,59.0,35.0,6.946636369,42,19.0,healthy
69.0,46.0,41.0,5.012139669,72,19.04,ph_stress_acidic
91.0,56.0,37.0,6.363472208,21,19.07,healthy
61.0,52.0,41.0,6.880431223,14,19.11,healthy
67.0,45.0,38.0,7.300410836,16,19.11,healthy
79.0,42.0,37.0,6.587918708,11,19.1,water_stress
78.0,43.0,42.0,7.283736617,7,19.1,water_stress
75.0,54.0,36.0,7.023936392,56,19.1,healthy
97.0,36.0,45.0,6.939083505,42,18.87,healthy
67.0,47.0,44.0,7.868474653,78,18.64,ph_stress_alkaline
73.0,35.0,38.0,5.005306977,16,18.48,ph_stress_acidic
